variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_pairwise,8,1,3472,212,0.1856,0.107,0.1057,0.0089,14656,43.71
flat_full_pairwise,8,2,3472,212,0.1856,0.109,0.1054,0.0106,14656,43.71
flat_full_pairwise,8,3,3472,212,0.1856,0.1096,0.106,0.009,14656,43.71
flat_full_pairwise,8,4,3472,212,0.1856,0.1118,0.1095,0.009,14656,43.71
flat_full_pairwise,8,5,3472,212,0.1856,0.1108,0.108,0.009,14656,43.71
flat_full_pairwise,32,1,11740,2372,0.1376,0.1167,0.2183,0.0122,14656,43.84
flat_full_pairwise,32,2,11740,2372,0.1376,0.1236,0.2233,0.0124,14656,43.84
flat_full_pairwise,32,3,11740,2372,0.1376,0.1187,0.2264,0.0132,14656,43.84
flat_full_pairwise,32,4,11740,2372,0.1376,0.119,0.2149,0.0122,14656,43.84
flat_full_pairwise,32,5,11740,2372,0.1376,0.1167,0.2163,0.0121,14656,43.84
flat_full_pairwise,56,1,29512,6836,0.1939,0.1323,0.3811,0.0194,14656,62.45
flat_full_pairwise,56,2,29512,6836,0.1939,0.1347,0.3858,0.0191,14656,62.57
flat_full_pairwise,56,3,29512,6836,0.1939,0.1383,0.3799,0.0196,14656,62.65
flat_full_pairwise,56,4,29512,6836,0.1939,0.1326,0.3902,0.0193,14656,62.5
flat_full_pairwise,56,5,29512,6836,0.1939,0.1349,0.3767,0.0201,14656,62.66
flat_full_pairwise,80,1,56788,13604,0.2887,0.158,0.6731,0.0305,14656,100.16
flat_full_pairwise,80,2,56788,13604,0.2887,0.1674,0.6644,0.0309,14656,100.45
flat_full_pairwise,80,3,56788,13604,0.2887,0.1612,0.6695,0.031,14656,100.05
flat_full_pairwise,80,4,56788,13604,0.2887,0.1624,0.6642,0.0331,14656,100.25
flat_full_pairwise,80,5,56788,13604,0.2887,0.1635,0.6741,0.0311,14656,100.48
flat_full_pairwise,104,1,93568,22676,0.4301,0.1976,1.1537,0.0475,14656,157.43
flat_full_pairwise,104,2,93568,22676,0.4301,0.2039,1.18,0.0468,14656,157.48
flat_full_pairwise,104,3,93568,22676,0.4301,0.2021,1.1769,0.0473,14656,157.79
flat_full_pairwise,104,4,93568,22676,0.4301,0.2067,1.1496,0.0457,14656,157.6
flat_full_pairwise,104,5,93568,22676,0.4301,0.2054,1.1854,0.046,14656,157.57
flat_full_pairwise,152,1,195640,47732,0.8345,0.3324,2.2047,0.0917,14656,307.12
flat_full_pairwise,152,2,195640,47732,0.8345,0.3127,2.5281,0.13,14656,307.09
