variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_pairwise,8,1,3472,212,1.9824,0.1305,0.119,0.0089,14656,50.37
flat_full_pairwise,8,2,3472,212,1.9824,0.1135,0.1105,0.009,14656,50.37
flat_full_pairwise,8,3,3472,212,1.9824,0.1405,0.105,0.0091,14656,50.37
flat_full_pairwise,16,1,5172,676,0.124,0.1154,0.1394,0.0097,14656,50.37
flat_full_pairwise,16,2,5172,676,0.124,0.1238,0.1458,0.0097,14656,50.37
flat_full_pairwise,16,3,5172,676,0.124,0.1173,0.1595,0.0097,14656,50.37
flat_full_pairwise,24,1,7928,1396,0.14,0.1273,0.1821,0.011,14656,50.5
flat_full_pairwise,24,2,7928,1396,0.14,0.135,0.1832,0.0111,14656,50.5
flat_full_pairwise,24,3,7928,1396,0.14,0.1232,0.1804,0.0109,14656,50.5
flat_full_pairwise,32,1,11740,2372,0.1524,0.125,0.2415,0.0124,14656,50.5
flat_full_pairwise,32,2,11740,2372,0.1524,0.1303,0.2336,0.0126,14656,50.5
flat_full_pairwise,32,3,11740,2372,0.1524,0.1252,0.2296,0.0125,14656,50.5
flat_full_pairwise,40,1,16608,3604,0.1605,0.1529,0.3444,0.0146,14656,50.62
flat_full_pairwise,40,2,16608,3604,0.1605,0.1353,0.3301,0.0149,14656,50.62
flat_full_pairwise,40,3,16608,3604,0.1605,0.1312,0.3385,0.0143,14656,50.62
flat_full_pairwise,48,1,22532,5092,0.1769,0.1335,0.356,0.0171,14656,54.1
flat_full_pairwise,48,2,22532,5092,0.1769,0.1383,0.3578,0.0178,14656,53.93
flat_full_pairwise,48,3,22532,5092,0.1769,0.1361,0.3603,0.0173,14656,54.14
flat_full_pairwise,56,1,29512,6836,0.2059,0.1412,0.4051,0.02,14656,62.57
flat_full_pairwise,56,2,29512,6836,0.2059,0.1429,0.4036,0.0202,14656,62.63
flat_full_pairwise,56,3,29512,6836,0.2059,0.1442,0.413,0.0198,14656,62.55
flat_full_pairwise,64,1,37548,8836,0.2387,0.1533,0.6312,0.0234,14656,77.82
flat_full_pairwise,64,2,37548,8836,0.2387,0.1585,0.657,0.0236,14656,77.52
flat_full_pairwise,64,3,37548,8836,0.2387,0.1536,0.625,0.0229,14656,77.75
flat_full_pairwise,72,1,46640,11092,0.2699,0.1611,0.6664,0.0283,14656,91.54
flat_full_pairwise,72,2,46640,11092,0.2699,0.1626,0.6771,0.0276,14656,91.21
flat_full_pairwise,72,3,46640,11092,0.2699,0.1672,0.6729,0.0292,14656,91.2
flat_full_pairwise,80,1,56788,13604,0.3176,0.1739,0.7397,0.0313,14656,100.2
flat_full_pairwise,80,2,56788,13604,0.3176,0.1768,0.7406,0.0313,14656,100.38
flat_full_pairwise,80,3,56788,13604,0.3176,0.1791,0.7232,0.0321,14656,100.39
flat_full_pairwise,88,1,67992,16372,0.3653,0.1925,1.1275,0.038,14656,132.39
flat_full_pairwise,88,2,67992,16372,0.3653,0.1899,1.145,0.036,14656,131.92
flat_full_pairwise,88,3,67992,16372,0.3653,0.1903,1.139,0.0359,14656,131.95
flat_full_pairwise,96,1,80252,19396,0.4124,0.2032,1.1881,0.0444,14656,144.05
flat_full_pairwise,96,2,80252,19396,0.4124,0.2577,1.2218,0.0414,14656,144.36
flat_full_pairwise,96,3,80252,19396,0.4124,0.2075,1.192,0.0412,14656,144.28
flat_full_pairwise,104,1,93568,22676,0.4728,0.2188,1.2829,0.0463,14656,157.54
flat_full_pairwise,104,2,93568,22676,0.4728,0.2186,1.2698,0.0488,14656,157.6
flat_full_pairwise,104,3,93568,22676,0.4728,0.2253,1.3125,0.0497,14656,157.51
flat_full_pairwise,128,1,139852,34052,0.7627,0.3394,2.9777,0.1027,14656,236.13
flat_full_pairwise,128,2,139852,34052,0.7627,0.3204,2.7524,0.1021,14656,236.31
flat_full_pairwise,128,3,139852,34052,0.7627,0.3199,2.7396,0.1012,14656,236.43
flat_full_pairwise,152,1,195640,47732,1.0062,0.3726,3.2106,0.1332,14656,307.49
flat_full_pairwise,152,2,195640,47732,1.0062,0.3742,3.016,0.1303,14656,307.43
flat_full_pairwise,152,3,195640,47732,1.0062,0.372,3.0306,0.1291,14656,307.11
flat_full_pairwise,176,1,260932,63716,1.2665,0.4477,3.5608,0.1646,14656,382.48
flat_full_pairwise,176,2,260932,63716,1.2665,0.4386,3.4233,0.1672,14656,382.86
flat_full_pairwise,176,3,260932,63716,1.2665,0.4349,3.4073,0.1636,14656,382.83
flat_full_pairwise,200,1,335728,82004,1.5756,0.5324,5.4491,0.2025,14656,526.69
flat_full_pairwise,200,2,335728,82004,1.5756,0.5121,5.255,0.1958,14656,526.56
flat_full_pairwise,200,3,335728,82004,1.5756,0.5198,5.3363,0.204,14656,526.48
flat_full_pairwise,224,1,420028,102596,1.9952,0.5961,5.9088,0.234,14656,625.68
flat_full_pairwise,224,2,420028,102596,1.9952,0.6043,5.7784,0.2332,14656,625.75
flat_full_pairwise,224,3,420028,102596,1.9952,0.6,6.3669,0.2312,14656,625.93
flat_full_pairwise,248,1,513832,125492,2.4454,0.7437,6.6288,0.283,14656,729.58
flat_full_pairwise,248,2,513832,125492,2.4454,0.6831,6.2394,0.2776,14656,729.66
flat_full_pairwise,248,3,513832,125492,2.4454,0.6764,6.243,0.2727,14656,729.45
flat_full_sort,8,1,3505,204,1.028,0.1198,0.1104,0.0089,14656,43.68
flat_full_sort,8,2,3505,204,1.028,0.1192,0.1054,0.0091,14656,43.68
flat_full_sort,8,3,3505,204,1.028,0.1175,0.1086,0.009,14656,43.68
flat_full_sort,16,1,5109,532,0.1229,0.1234,0.1919,0.0096,14656,43.68
flat_full_sort,16,2,5109,532,0.1229,0.1202,0.1417,0.0097,14656,43.68
flat_full_sort,16,3,5109,532,0.1229,0.1186,0.1897,0.0099,14656,43.68
flat_full_sort,24,1,7641,988,0.1412,0.1182,0.1497,0.0108,14656,43.68
flat_full_sort,24,2,7641,988,0.1412,0.121,0.1601,0.0108,14656,43.68
flat_full_sort,24,3,7641,988,0.1412,0.1209,0.1474,0.0122,14656,43.68
flat_full_sort,32,1,11101,1572,0.1418,0.1216,0.21,0.0132,14656,43.8
flat_full_sort,32,2,11101,1572,0.1418,0.121,0.2199,0.0128,14656,43.8
flat_full_sort,32,3,11101,1572,0.1418,0.1292,0.2126,0.0127,14656,43.8
flat_full_sort,40,1,15489,2284,0.1389,0.1259,0.2301,0.0144,14656,43.93
flat_full_sort,40,2,15489,2284,0.1389,0.1278,0.231,0.0144,14656,43.93
flat_full_sort,40,3,15489,2284,0.1389,0.1367,0.2331,0.0146,14656,43.93
flat_full_sort,48,1,20805,3124,0.1439,0.1306,0.342,0.017,14656,51.39
flat_full_sort,48,2,20805,3124,0.1439,0.1309,0.3419,0.0174,14656,51.57
flat_full_sort,48,3,20805,3124,0.1439,0.133,0.337,0.0172,14656,51.27
flat_full_sort,56,1,27049,4092,0.1552,0.1309,0.3673,0.0198,14656,59.07
flat_full_sort,56,2,27049,4092,0.1552,0.1342,0.3714,0.0208,14656,59.39
flat_full_sort,56,3,27049,4092,0.1552,0.1376,0.3692,0.0196,14656,59.18
flat_full_sort,64,1,34221,5188,0.1653,0.1423,0.5572,0.0232,14656,72.96
flat_full_sort,64,2,34221,5188,0.1653,0.1382,0.5598,0.023,14656,73.56
flat_full_sort,64,3,34221,5188,0.1653,0.1416,0.5621,0.0234,14656,73.25
flat_full_sort,72,1,42321,6412,0.1714,0.1472,0.5943,0.0268,14656,81.65
flat_full_sort,72,2,42321,6412,0.1714,0.1452,0.5993,0.0262,14656,81.53
flat_full_sort,72,3,42321,6412,0.1714,0.1473,0.6063,0.0267,14656,81.31
flat_full_sort,80,1,51349,7764,0.1862,0.1582,0.719,0.045,14656,92.74
flat_full_sort,80,2,51349,7764,0.1862,0.1921,0.7955,0.0472,14656,92.8
flat_full_sort,80,3,51349,7764,0.1862,0.2025,0.8177,0.0477,14656,92.7
flat_full_sort,88,1,61305,9244,0.245,0.1866,0.8849,0.0542,14656,104.29
flat_full_sort,88,2,61305,9244,0.245,0.2122,0.8969,0.056,14656,104.56
flat_full_sort,88,3,61305,9244,0.245,0.2175,0.8903,0.0554,14656,104.58
flat_full_sort,96,1,72189,10852,0.2573,0.1953,1.4899,0.0657,14656,134.34
flat_full_sort,96,2,72189,10852,0.2573,0.2264,1.3949,0.0652,14656,134.7
flat_full_sort,96,3,72189,10852,0.2573,0.2288,1.392,0.0648,14656,134.43
flat_full_sort,104,1,84001,12588,0.2669,0.2063,1.4981,0.0724,14656,142.54
flat_full_sort,104,2,84001,12588,0.2669,0.2356,1.4455,0.0722,14656,142.77
flat_full_sort,104,3,84001,12588,0.2669,0.2349,1.45,0.0721,14656,143.3
flat_full_sort,128,1,125005,18564,0.3194,0.238,1.8407,0.0988,14656,193.76
flat_full_sort,128,2,125005,18564,0.3194,0.2612,1.781,0.1073,14656,194.14
flat_full_sort,128,3,125005,18564,0.3194,0.2639,1.7708,0.1,14656,196.38
flat_full_sort,152,1,174361,25692,0.3597,0.2897,2.8691,0.1291,14656,280.31
flat_full_sort,152,2,174361,25692,0.3597,0.2949,2.8233,0.1309,14656,280.01
flat_full_sort,152,3,174361,25692,0.3597,0.3353,2.8217,0.1294,14656,280.55
flat_full_sort,176,1,232069,33972,0.4306,0.3538,3.1662,0.1684,14656,348.12
flat_full_sort,176,2,232069,33972,0.4306,0.3396,3.1782,0.1675,14656,348.17
flat_full_sort,176,3,232069,33972,0.4306,0.341,3.2093,0.1595,14656,348.57
flat_full_sort,200,1,298129,43404,0.4624,0.3808,4.9553,0.1999,14656,502.95
flat_full_sort,200,2,298129,43404,0.4624,0.3763,4.9642,0.203,14656,503.0
flat_full_sort,200,3,298129,43404,0.4624,0.3766,5.0065,0.2017,14656,502.94
flat_full_sort,224,1,372541,53988,0.5323,0.4424,5.3713,0.2417,14656,548.5
flat_full_sort,224,2,372541,53988,0.5323,0.4402,5.3715,0.2473,14656,548.56
