variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_merkle_sort,1504,1,2864190,376005,24.6888,6.8401,40.2515,0.014,14656,4171.89
flat_merkle_sort,1504,2,2864190,376005,24.6888,6.8424,43.6163,0.0109,14656,4172.21
flat_merkle_sort,2000,1,3807830,500005,35.2389,10.4368,51.1935,0.0102,14656,5729.92
flat_merkle_sort,2000,2,3807830,500005,35.2389,10.4351,51.0685,0.0105,14656,5729.93
flat_merkle_sort,2504,1,4981408,653549,51.1447,15.1801,78.2977,0.0097,14656,7999.84
flat_merkle_sort,2504,2,4981408,653549,51.1447,14.9472,78.2637,0.0097,14656,7999.63
flat_merkle_sort,3000,1,6224830,816005,67.5757,21.1754,93.1958,0.015,14656,9736.44
flat_merkle_sort,3000,2,6224830,816005,67.5757,20.8575,90.6521,0.0144,14656,9736.32
flat_merkle_sort,4000,1,8298830,1088005,100.8759,33.4513,114.3761,0.0188,14656,13170.86
flat_merkle_sort,4000,2,8298830,1088005,100.8759,35.0398,114.6733,0.039,14656,13353.1
flat_merkle_grand_product,1504,1,2956381,368482,20.1999,3.2067,40.8389,0.0098,14656,4126.14
flat_merkle_grand_product,1504,2,2956381,368482,20.1999,3.4102,43.6043,0.0108,14656,4126.02
flat_merkle_grand_product,2000,1,3930401,490002,26.3501,4.3233,50.62,0.0107,14656,5118.05
flat_merkle_grand_product,2000,2,3930401,490002,26.3501,4.4424,50.6317,0.0115,14656,5117.89
flat_merkle_grand_product,2504,1,5134849,641026,36.4989,5.6482,76.7794,0.0097,14656,6909.74
flat_merkle_grand_product,2504,2,5134849,641026,36.4989,5.7164,77.6044,0.0097,14656,6909.81
flat_merkle_grand_product,3000,1,6408651,801002,46.4775,6.3382,85.9553,0.0094,14656,8348.38
flat_merkle_grand_product,3000,2,6408651,801002,46.4775,6.3752,86.2209,0.0097,14656,8348.57
