variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_cfs_iso,48,2,24,1,sub_0,28826,3165,0.3042,0.189,0.4639,0.0088,14656,59.32,0.052,1
hier_cfs_iso,48,2,24,1,sub_1,28826,3165,0.3042,0.202,0.4669,0.0088,14656,59.28,0.052,1
hier_cfs_iso,48,2,24,1,glue,5961,386,0.1824,0.1722,0.1613,0.0087,14656,29.38,0.052,1
hier_cfs_iso,48,2,24,2,sub_0,28826,3165,0.3042,0.1802,0.4318,0.0088,14656,59.2,0.0531,1
hier_cfs_iso,48,2,24,2,sub_1,28826,3165,0.3042,0.1839,0.4323,0.0087,14656,59.01,0.0531,1
hier_cfs_iso,48,2,24,2,glue,5961,386,0.1824,0.1718,0.16,0.0084,14656,29.52,0.0531,1
hier_cfs_iso,48,2,24,3,sub_0,28826,3165,0.3042,0.1824,0.4348,0.009,14656,59.16,0.0557,1
hier_cfs_iso,48,2,24,3,sub_1,28826,3165,0.3042,0.1854,0.4373,0.0085,14656,59.27,0.0557,1
hier_cfs_iso,48,2,24,3,glue,5961,386,0.1824,0.1767,0.159,0.0087,14656,29.43,0.0557,1
hier_cfs_iso,48,4,12,1,sub_0,15530,1521,0.2154,0.1732,0.2677,0.0091,14656,41.27,0.0804,1
hier_cfs_iso,48,4,12,1,sub_1,15530,1521,0.2154,0.1765,0.2684,0.0085,14656,41.47,0.0804,1
hier_cfs_iso,48,4,12,1,sub_2,15530,1521,0.2154,0.1772,0.2671,0.0091,14656,41.64,0.0804,1
hier_cfs_iso,48,4,12,1,sub_3,15530,1521,0.2154,0.1791,0.267,0.0123,14656,41.47,0.0804,1
hier_cfs_iso,48,4,12,1,glue,8922,672,0.1992,0.1807,0.229,0.013,14656,35.4,0.0804,1
hier_cfs_iso,48,4,12,2,sub_0,15530,1521,0.2154,0.1764,0.2817,0.0087,14656,41.26,0.0791,1
hier_cfs_iso,48,4,12,2,sub_1,15530,1521,0.2154,0.18,0.2847,0.0086,14656,41.59,0.0791,1
hier_cfs_iso,48,4,12,2,sub_2,15530,1521,0.2154,0.1802,0.2771,0.0085,14656,41.4,0.0791,1
hier_cfs_iso,48,4,12,2,sub_3,15530,1521,0.2154,0.187,0.2764,0.0084,14656,41.46,0.0791,1
hier_cfs_iso,48,4,12,2,glue,8922,672,0.1992,0.1771,0.2311,0.0084,14656,35.65,0.0791,1
hier_cfs_iso,48,4,12,3,sub_0,15530,1521,0.2154,0.179,0.2765,0.0088,14656,41.24,0.0795,1
hier_cfs_iso,48,4,12,3,sub_1,15530,1521,0.2154,0.182,0.2772,0.0085,14656,41.35,0.0795,1
hier_cfs_iso,48,4,12,3,sub_2,15530,1521,0.2154,0.1924,0.2837,0.0089,14656,41.29,0.0795,1
hier_cfs_iso,48,4,12,3,sub_3,15530,1521,0.2154,0.1842,0.2765,0.0121,14656,41.38,0.0795,1
hier_cfs_iso,48,4,12,3,glue,8922,672,0.1992,0.1804,0.2338,0.0129,14656,35.47,0.0795,1
hier_cfs_iso,48,8,6,1,sub_0,8882,699,0.1969,0.1782,0.2296,0.0092,14656,35.92,0.1069,1
hier_cfs_iso,48,8,6,1,sub_1,8882,699,0.1969,0.1787,0.2291,0.0085,14656,35.74,0.1069,1
hier_cfs_iso,48,8,6,1,sub_2,8882,699,0.1969,0.1811,0.234,0.0094,14656,35.93,0.1069,1
hier_cfs_iso,48,8,6,1,sub_3,8882,699,0.1969,0.1798,0.2311,0.0105,14656,36.14,0.1069,1
hier_cfs_iso,48,8,6,1,sub_4,8882,699,0.1969,0.1817,0.2373,0.0131,14656,35.75,0.1069,1
hier_cfs_iso,48,8,6,1,sub_5,8882,699,0.1969,0.178,0.234,0.0128,14656,36.13,0.1069,1
hier_cfs_iso,48,8,6,1,sub_6,8882,699,0.1969,0.1789,0.2318,0.0134,14656,36.21,0.1069,1
hier_cfs_iso,48,8,6,1,sub_7,8882,699,0.1969,0.1812,0.2443,0.0083,14656,35.71,0.1069,1
hier_cfs_iso,48,8,6,1,glue,14844,1244,0.2098,0.1862,0.2828,0.009,14656,40.23,0.1069,1
hier_cfs_iso,48,8,6,2,sub_0,8882,699,0.1969,0.1809,0.2465,0.009,14656,36.11,0.1037,1
hier_cfs_iso,48,8,6,2,sub_1,8882,699,0.1969,0.1864,0.2367,0.0085,14656,35.86,0.1037,1
hier_cfs_iso,48,8,6,2,sub_2,8882,699,0.1969,0.1799,0.2353,0.0083,14656,35.86,0.1037,1
hier_cfs_iso,48,8,6,2,sub_3,8882,699,0.1969,0.1799,0.2367,0.0089,14656,36.09,0.1037,1
hier_cfs_iso,48,8,6,2,sub_4,8882,699,0.1969,0.1814,0.2355,0.0104,14656,36.07,0.1037,1
hier_cfs_iso,48,8,6,2,sub_5,8882,699,0.1969,0.183,0.2401,0.0103,14656,35.67,0.1037,1
hier_cfs_iso,48,8,6,2,sub_6,8882,699,0.1969,0.1807,0.2358,0.0119,14656,36.03,0.1037,1
hier_cfs_iso,48,8,6,2,sub_7,8882,699,0.1969,0.1783,0.2373,0.0083,14656,35.78,0.1037,1
hier_cfs_iso,48,8,6,2,glue,14844,1244,0.2098,0.1833,0.2797,0.0084,14656,40.21,0.1037,1
hier_cfs_iso,48,8,6,3,sub_0,8882,699,0.1969,0.1815,0.2395,0.0087,14656,36.06,0.1012,1
hier_cfs_iso,48,8,6,3,sub_1,8882,699,0.1969,0.1786,0.2444,0.0086,14656,35.8,0.1012,1
hier_cfs_iso,48,8,6,3,sub_2,8882,699,0.1969,0.1806,0.2418,0.0084,14656,36.06,0.1012,1
hier_cfs_iso,48,8,6,3,sub_3,8882,699,0.1969,0.184,0.2406,0.0139,14656,36.0,0.1012,1
hier_cfs_iso,48,8,6,3,sub_4,8882,699,0.1969,0.1784,0.2372,0.0182,14656,35.79,0.1012,1
hier_cfs_iso,48,8,6,3,sub_5,8882,699,0.1969,0.1799,0.2361,0.0143,14656,35.72,0.1012,1
hier_cfs_iso,48,8,6,3,sub_6,8882,699,0.1969,0.1838,0.2419,0.0101,14656,35.61,0.1012,1
hier_cfs_iso,48,8,6,3,sub_7,8882,699,0.1969,0.1796,0.2416,0.0087,14656,35.68,0.1012,1
hier_cfs_iso,48,8,6,3,glue,14844,1244,0.2098,0.1887,0.2897,0.0083,14656,40.45,0.1012,1
hier_cfs_iso,96,2,48,1,sub_0,63479,7487,0.3999,0.2134,0.8765,0.009,14656,102.62,0.0546,1
hier_cfs_iso,96,2,48,1,sub_1,63479,7487,0.3999,0.2254,0.8638,0.0085,14656,102.87,0.0546,1
hier_cfs_iso,96,2,48,1,glue,6400,526,0.196,0.1846,0.1733,0.0104,14656,29.78,0.0546,1
hier_cfs_iso,96,2,48,2,sub_0,63479,7487,0.3999,0.2193,0.8623,0.0092,14656,102.82,0.0541,1
hier_cfs_iso,96,2,48,2,sub_1,63479,7487,0.3999,0.2298,0.8639,0.0085,14656,102.99,0.0541,1
hier_cfs_iso,96,2,48,2,glue,6400,526,0.196,0.183,0.1758,0.0083,14656,29.73,0.0541,1
hier_cfs_iso,96,2,48,3,sub_0,63479,7487,0.3999,0.2216,0.9079,0.0149,14656,102.96,0.0582,1
hier_cfs_iso,96,2,48,3,sub_1,63479,7487,0.3999,0.2275,0.8756,0.0087,14656,102.87,0.0582,1
hier_cfs_iso,96,2,48,3,glue,6400,526,0.196,0.1887,0.1798,0.0089,14656,29.53,0.0582,1
hier_cfs_iso,96,4,24,1,sub_0,32771,3671,0.3003,0.1919,0.6837,0.0131,14656,72.86,0.091,1
hier_cfs_iso,96,4,24,1,sub_1,32771,3671,0.3003,0.1996,0.6622,0.0133,14656,76.43,0.091,1
hier_cfs_iso,96,4,24,1,sub_2,32771,3671,0.3003,0.2022,0.6576,0.0153,14656,73.16,0.091,1
hier_cfs_iso,96,4,24,1,sub_3,32771,3671,0.3003,0.2023,0.6762,0.0178,14656,73.27,0.091,1
hier_cfs_iso,96,4,24,1,glue,9704,856,0.2051,0.2137,0.3034,0.0172,14656,36.55,0.091,1
hier_cfs_iso,96,4,24,2,sub_0,32771,3671,0.3003,0.2271,0.8895,0.0132,14656,73.18,0.0961,1
hier_cfs_iso,96,4,24,2,sub_1,32771,3671,0.3003,0.2665,0.8836,0.0125,14656,76.66,0.0961,1
hier_cfs_iso,96,4,24,2,sub_2,32771,3671,0.3003,0.26,0.8751,0.0155,14656,73.26,0.0961,1
hier_cfs_iso,96,4,24,2,sub_3,32771,3671,0.3003,0.2581,0.8773,0.0203,14656,73.33,0.0961,1
hier_cfs_iso,96,4,24,2,glue,9704,856,0.2051,0.2392,0.2999,0.0125,14656,36.62,0.0961,1
hier_cfs_iso,96,4,24,3,sub_0,32771,3671,0.3003,0.2295,0.8646,0.0131,14656,73.12,0.0927,1
hier_cfs_iso,96,4,24,3,sub_1,32771,3671,0.3003,0.2602,0.867,0.0126,14656,76.21,0.0927,1
hier_cfs_iso,96,4,24,3,sub_2,32771,3671,0.3003,0.2537,0.8583,0.0156,14656,73.32,0.0927,1
hier_cfs_iso,96,4,24,3,sub_3,32771,3671,0.3003,0.2583,0.8697,0.0164,14656,73.17,0.0927,1
hier_cfs_iso,96,4,24,3,glue,9704,856,0.2051,0.2421,0.3047,0.0144,14656,36.57,0.0927,1
hier_cfs_iso,96,8,12,1,sub_0,17417,1763,0.2688,0.198,0.4646,0.0131,14656,48.08,0.1331,1
hier_cfs_iso,96,8,12,1,sub_1,17417,1763,0.2688,0.2343,0.484,0.0127,14656,48.07,0.1331,1
hier_cfs_iso,96,8,12,1,sub_2,17417,1763,0.2688,0.2344,0.4742,0.0128,14656,48.08,0.1331,1
hier_cfs_iso,96,8,12,1,sub_3,17417,1763,0.2688,0.2433,0.4721,0.0146,14656,48.12,0.1331,1
hier_cfs_iso,96,8,12,1,sub_4,17417,1763,0.2688,0.2335,0.472,0.0148,14656,48.12,0.1331,1
hier_cfs_iso,96,8,12,1,sub_5,17417,1763,0.2688,0.235,0.4727,0.0118,14656,47.9,0.1331,1
hier_cfs_iso,96,8,12,1,sub_6,17417,1763,0.2688,0.2378,0.4673,0.0122,14656,49.02,0.1331,1
hier_cfs_iso,96,8,12,1,sub_7,17417,1763,0.2688,0.2378,0.4738,0.0114,14656,48.2,0.1331,1
hier_cfs_iso,96,8,12,1,glue,16312,1516,0.2526,0.2403,0.3556,0.0114,14656,42.29,0.1331,1
hier_cfs_iso,96,8,12,2,sub_0,17417,1763,0.2688,0.2116,0.475,0.0132,14656,48.12,0.1319,1
hier_cfs_iso,96,8,12,2,sub_1,17417,1763,0.2688,0.2397,0.4984,0.0129,14656,48.01,0.1319,1
hier_cfs_iso,96,8,12,2,sub_2,17417,1763,0.2688,0.2417,0.4773,0.0125,14656,48.37,0.1319,1
hier_cfs_iso,96,8,12,2,sub_3,17417,1763,0.2688,0.2338,0.4727,0.0137,14656,48.04,0.1319,1
hier_cfs_iso,96,8,12,2,sub_4,17417,1763,0.2688,0.2404,0.4816,0.0155,14656,48.13,0.1319,1
hier_cfs_iso,96,8,12,2,sub_5,17417,1763,0.2688,0.2352,0.4747,0.0137,14656,47.84,0.1319,1
hier_cfs_iso,96,8,12,2,sub_6,17417,1763,0.2688,0.2408,0.4719,0.0118,14656,49.02,0.1319,1
hier_cfs_iso,96,8,12,2,sub_7,17417,1763,0.2688,0.2388,0.4727,0.0116,14656,48.31,0.1319,1
hier_cfs_iso,96,8,12,2,glue,16312,1516,0.2526,0.2377,0.3555,0.0114,14656,42.48,0.1319,1
hier_cfs_iso,96,8,12,3,sub_0,17417,1763,0.2688,0.2118,0.4759,0.0135,14656,47.99,0.1284,1
hier_cfs_iso,96,8,12,3,sub_1,17417,1763,0.2688,0.236,0.4981,0.0127,14656,48.04,0.1284,1
hier_cfs_iso,96,8,12,3,sub_2,17417,1763,0.2688,0.2484,0.4743,0.0126,14656,47.88,0.1284,1
hier_cfs_iso,96,8,12,3,sub_3,17417,1763,0.2688,0.2358,0.4727,0.0124,14656,48.16,0.1284,1
hier_cfs_iso,96,8,12,3,sub_4,17417,1763,0.2688,0.2376,0.4758,0.0164,14656,48.23,0.1284,1
hier_cfs_iso,96,8,12,3,sub_5,17417,1763,0.2688,0.2375,0.4862,0.0176,14656,48.46,0.1284,1
hier_cfs_iso,96,8,12,3,sub_6,17417,1763,0.2688,0.2405,0.4732,0.0138,14656,49.01,0.1284,1
hier_cfs_iso,96,8,12,3,sub_7,17417,1763,0.2688,0.2389,0.4757,0.0116,14656,47.84,0.1284,1
hier_cfs_iso,96,8,12,3,glue,16312,1516,0.2526,0.2366,0.3504,0.0112,14656,42.32,0.1284,1
hier_cfs_iso,128,2,64,1,sub_0,83951,10031,0.5425,0.2534,1.7461,0.0123,14656,139.17,0.068,1
hier_cfs_iso,128,2,64,1,sub_1,83951,10031,0.5425,0.2953,1.7564,0.0116,14656,138.39,0.068,1
hier_cfs_iso,128,2,64,1,glue,6464,590,0.2268,0.244,0.2,0.0129,14656,29.63,0.068,1
hier_cfs_iso,128,2,64,2,sub_0,83951,10031,0.5425,0.2702,1.7714,0.012,14656,139.18,0.0667,1
hier_cfs_iso,128,2,64,2,sub_1,83951,10031,0.5425,0.303,1.7552,0.0116,14656,138.28,0.0667,1
hier_cfs_iso,128,2,64,2,glue,6464,590,0.2268,0.2395,0.203,0.0123,14656,29.7,0.0667,1
hier_cfs_iso,128,2,64,3,sub_0,83951,10031,0.5425,0.2712,1.7712,0.0123,14656,139.3,0.0739,1
hier_cfs_iso,128,2,64,3,sub_1,83951,10031,0.5425,0.2998,1.7398,0.0118,14656,138.5,0.0739,1
hier_cfs_iso,128,2,64,3,glue,6464,590,0.2268,0.2389,0.2047,0.016,14656,29.53,0.0739,1
hier_cfs_iso,128,4,32,1,sub_0,43007,4943,0.3741,0.2186,0.9336,0.0127,14656,84.72,0.0944,1
hier_cfs_iso,128,4,32,1,sub_1,43007,4943,0.3741,0.2622,0.9516,0.0124,14656,85.4,0.0944,1
hier_cfs_iso,128,4,32,1,sub_2,43007,4943,0.3741,0.2684,0.9382,0.012,14656,84.82,0.0944,1
hier_cfs_iso,128,4,32,1,sub_3,43007,4943,0.3741,0.2589,0.9327,0.012,14656,85.22,0.0944,1
hier_cfs_iso,128,4,32,1,glue,9768,920,0.2259,0.2368,0.2929,0.0123,14656,35.11,0.0944,1
hier_cfs_iso,128,4,32,2,sub_0,43007,4943,0.3741,0.2413,0.9795,0.0128,14656,85.18,0.0972,1
hier_cfs_iso,128,4,32,2,sub_1,43007,4943,0.3741,0.2804,0.9495,0.0124,14656,84.95,0.0972,1
hier_cfs_iso,128,4,32,2,sub_2,43007,4943,0.3741,0.2649,0.9349,0.0121,14656,85.02,0.0972,1
hier_cfs_iso,128,4,32,2,sub_3,43007,4943,0.3741,0.2599,0.9357,0.012,14656,84.84,0.0972,1
hier_cfs_iso,128,4,32,2,glue,9768,920,0.2259,0.2363,0.2928,0.0118,14656,35.28,0.0972,1
hier_cfs_iso,128,4,32,3,sub_0,43007,4943,0.3741,0.2341,0.9925,0.0127,14656,84.96,0.087,1
hier_cfs_iso,128,4,32,3,sub_1,43007,4943,0.3741,0.2598,0.9434,0.0125,14656,85.09,0.087,1
hier_cfs_iso,128,4,32,3,sub_2,43007,4943,0.3741,0.2645,0.9359,0.0148,14656,85.19,0.087,1
hier_cfs_iso,128,4,32,3,sub_3,43007,4943,0.3741,0.2654,0.9354,0.0201,14656,85.27,0.087,1
hier_cfs_iso,128,4,32,3,glue,9768,920,0.2259,0.2392,0.2929,0.0156,14656,35.34,0.087,1
hier_cfs_iso,128,8,16,1,sub_0,22535,2399,0.2845,0.1972,0.5048,0.0132,14656,53.88,0.1315,1
hier_cfs_iso,128,8,16,1,sub_1,22535,2399,0.2845,0.2371,0.5209,0.0126,14656,53.9,0.1315,1
hier_cfs_iso,128,8,16,1,sub_2,22535,2399,0.2845,0.2383,0.5204,0.0128,14656,54.02,0.1315,1
hier_cfs_iso,128,8,16,1,sub_3,22535,2399,0.2845,0.2384,0.5284,0.0147,14656,54.09,0.1315,1
hier_cfs_iso,128,8,16,1,sub_4,22535,2399,0.2845,0.2422,0.5424,0.0175,14656,53.98,0.1315,1
hier_cfs_iso,128,8,16,1,sub_5,22535,2399,0.2845,0.2356,0.5191,0.0119,14656,54.17,0.1315,1
hier_cfs_iso,128,8,16,1,sub_6,22535,2399,0.2845,0.2398,0.5182,0.0115,14656,54.06,0.1315,1
hier_cfs_iso,128,8,16,1,sub_7,22535,2399,0.2845,0.2384,0.5278,0.0114,14656,53.95,0.1315,1
hier_cfs_iso,128,8,16,1,glue,16376,1580,0.2515,0.2353,0.3493,0.0115,14656,41.26,0.1315,1
hier_cfs_iso,128,8,16,2,sub_0,22535,2399,0.2845,0.2127,0.525,0.0131,14656,54.2,0.1298,1
hier_cfs_iso,128,8,16,2,sub_1,22535,2399,0.2845,0.245,0.547,0.0138,14656,54.08,0.1298,1
hier_cfs_iso,128,8,16,2,sub_2,22535,2399,0.2845,0.2428,0.5269,0.017,14656,54.32,0.1298,1
hier_cfs_iso,128,8,16,2,sub_3,22535,2399,0.2845,0.241,0.5227,0.0189,14656,53.82,0.1298,1
