variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_c_iso,48,2,24,1,sub_0,28413,3113,0.1716,0.2265,0.503,0.0169,14656,58.79,0.0598,1
hier_c_iso,48,2,24,1,sub_1,28413,3113,0.1716,0.1916,0.45,0.0094,14656,59.14,0.0598,1
hier_c_iso,48,2,24,1,glue,9394,849,0.2286,0.1815,0.2861,0.011,14656,37.2,0.0598,1
hier_c_iso,48,2,24,2,sub_0,28413,3113,0.1716,0.2142,0.524,0.0089,14656,59.25,0.0638,1
hier_c_iso,48,2,24,2,sub_1,28413,3113,0.1716,0.199,0.4639,0.0088,14656,59.03,0.0638,1
hier_c_iso,48,2,24,2,glue,9394,849,0.2286,0.1959,0.2366,0.009,14656,37.09,0.0638,1
hier_c_iso,48,2,24,3,sub_0,28413,3113,0.1716,0.1866,0.4582,0.0089,14656,59.13,0.0581,1
hier_c_iso,48,2,24,3,sub_1,28413,3113,0.1716,0.2006,0.4508,0.0086,14656,59.11,0.0581,1
hier_c_iso,48,2,24,3,glue,9394,849,0.2286,0.1842,0.2327,0.0089,14656,37.41,0.0581,1
hier_c_iso,48,4,12,1,sub_0,15141,1493,0.2226,0.1794,0.2759,0.0088,14656,41.27,0.0694,1
hier_c_iso,48,4,12,1,sub_1,15141,1493,0.2226,0.1751,0.271,0.0086,14656,41.24,0.0694,1
hier_c_iso,48,4,12,1,sub_2,15141,1493,0.2226,0.1798,0.2687,0.0106,14656,41.18,0.0694,1
hier_c_iso,48,4,12,1,sub_3,15141,1493,0.2226,0.1824,0.2712,0.0114,14656,41.22,0.0694,1
hier_c_iso,48,4,12,1,glue,11614,1117,0.2154,0.1872,0.2574,0.0145,14656,38.52,0.0694,1
hier_c_iso,48,4,12,2,sub_0,15141,1493,0.2226,0.1877,0.2734,0.0088,14656,41.07,0.0715,1
hier_c_iso,48,4,12,2,sub_1,15141,1493,0.2226,0.1884,0.286,0.0085,14656,41.33,0.0715,1
hier_c_iso,48,4,12,2,sub_2,15141,1493,0.2226,0.1909,0.2784,0.0088,14656,41.25,0.0715,1
hier_c_iso,48,4,12,2,sub_3,15141,1493,0.2226,0.1798,0.2765,0.0094,14656,41.09,0.0715,1
hier_c_iso,48,4,12,2,glue,11614,1117,0.2154,0.184,0.2554,0.0163,14656,38.82,0.0715,1
hier_c_iso,48,4,12,3,sub_0,15141,1493,0.2226,0.183,0.2783,0.0091,14656,41.48,0.0888,1
hier_c_iso,48,4,12,3,sub_1,15141,1493,0.2226,0.1876,0.2928,0.0085,14656,41.18,0.0888,1
hier_c_iso,48,4,12,3,sub_2,15141,1493,0.2226,0.1871,0.2825,0.0083,14656,41.09,0.0888,1
hier_c_iso,48,4,12,3,sub_3,15141,1493,0.2226,0.1826,0.2804,0.0098,14656,41.18,0.0888,1
hier_c_iso,48,4,12,3,glue,11614,1117,0.2154,0.1903,0.2635,0.0096,14656,38.39,0.0888,1
hier_c_iso,48,8,6,1,sub_0,8505,683,0.2083,0.1747,0.229,0.0091,14656,34.94,0.1058,1
hier_c_iso,48,8,6,1,sub_1,8505,683,0.2083,0.1816,0.2295,0.0085,14656,35.0,0.1058,1
hier_c_iso,48,8,6,1,sub_2,8505,683,0.2083,0.1767,0.2291,0.0085,14656,34.69,0.1058,1
hier_c_iso,48,8,6,1,sub_3,8505,683,0.2083,0.1789,0.2349,0.0096,14656,35.06,0.1058,1
hier_c_iso,48,8,6,1,sub_4,8505,683,0.2083,0.1756,0.2285,0.0147,14656,34.99,0.1058,1
hier_c_iso,48,8,6,1,sub_5,8505,683,0.2083,0.1758,0.2384,0.0155,14656,35.28,0.1058,1
hier_c_iso,48,8,6,1,sub_6,8505,683,0.2083,0.1777,0.2282,0.0153,14656,35.07,0.1058,1
hier_c_iso,48,8,6,1,sub_7,8505,683,0.2083,0.1776,0.2322,0.0121,14656,35.23,0.1058,1
hier_c_iso,48,8,6,1,glue,16054,1653,0.2298,0.193,0.298,0.0088,14656,42.41,0.1058,1
hier_c_iso,48,8,6,2,sub_0,8505,683,0.2083,0.1845,0.2305,0.009,14656,34.79,0.1041,1
hier_c_iso,48,8,6,2,sub_1,8505,683,0.2083,0.1956,0.2401,0.0085,14656,34.96,0.1041,1
hier_c_iso,48,8,6,2,sub_2,8505,683,0.2083,0.1845,0.2496,0.0084,14656,34.84,0.1041,1
hier_c_iso,48,8,6,2,sub_3,8505,683,0.2083,0.1821,0.2313,0.0084,14656,35.11,0.1041,1
hier_c_iso,48,8,6,2,sub_4,8505,683,0.2083,0.1783,0.2323,0.0087,14656,34.84,0.1041,1
hier_c_iso,48,8,6,2,sub_5,8505,683,0.2083,0.1829,0.2367,0.0121,14656,35.15,0.1041,1
hier_c_iso,48,8,6,2,sub_6,8505,683,0.2083,0.1847,0.2686,0.0136,14656,34.96,0.1041,1
hier_c_iso,48,8,6,2,sub_7,8505,683,0.2083,0.1834,0.2326,0.0102,14656,35.11,0.1041,1
hier_c_iso,48,8,6,2,glue,16054,1653,0.2298,0.1911,0.2913,0.0095,14656,42.38,0.1041,1
hier_c_iso,48,8,6,3,sub_0,8505,683,0.2083,0.1884,0.2362,0.009,14656,34.92,0.1071,1
hier_c_iso,48,8,6,3,sub_1,8505,683,0.2083,0.1921,0.2462,0.0085,14656,35.2,0.1071,1
hier_c_iso,48,8,6,3,sub_2,8505,683,0.2083,0.188,0.2451,0.0102,14656,34.91,0.1071,1
hier_c_iso,48,8,6,3,sub_3,8505,683,0.2083,0.182,0.2363,0.0159,14656,35.12,0.1071,1
hier_c_iso,48,8,6,3,sub_4,8505,683,0.2083,0.1805,0.2351,0.0165,14656,35.34,0.1071,1
hier_c_iso,48,8,6,3,sub_5,8505,683,0.2083,0.184,0.2341,0.0119,14656,34.89,0.1071,1
hier_c_iso,48,8,6,3,sub_6,8505,683,0.2083,0.1824,0.2341,0.015,14656,34.96,0.1071,1
hier_c_iso,48,8,6,3,sub_7,8505,683,0.2083,0.1831,0.2394,0.0087,14656,34.99,0.1071,1
hier_c_iso,48,8,6,3,glue,16054,1653,0.2298,0.195,0.3002,0.0085,14656,42.4,0.1071,1
hier_c_iso,96,2,48,1,sub_0,63018,7387,0.4107,0.2189,0.8623,0.0092,14656,104.37,0.0687,1
hier_c_iso,96,2,48,1,sub_1,63018,7387,0.4107,0.2147,0.8557,0.0086,14656,104.49,0.0687,1
hier_c_iso,96,2,48,1,glue,14081,1469,0.2387,0.2071,0.2816,0.0096,14656,40.89,0.0687,1
hier_c_iso,96,2,48,2,sub_0,63018,7387,0.4107,0.2226,0.8978,0.0092,14656,104.36,0.0684,1
hier_c_iso,96,2,48,2,sub_1,63018,7387,0.4107,0.2423,0.8561,0.0086,14656,104.32,0.0684,1
hier_c_iso,96,2,48,2,glue,14081,1469,0.2387,0.2074,0.2779,0.0102,14656,41.04,0.0684,1
hier_c_iso,96,2,48,3,sub_0,63018,7387,0.4107,0.2238,0.8901,0.01,14656,104.59,0.0691,1
hier_c_iso,96,2,48,3,sub_1,63018,7387,0.4107,0.2272,0.8731,0.0097,14656,104.6,0.0691,1
hier_c_iso,96,2,48,3,glue,14081,1469,0.2387,0.2122,0.2817,0.0124,14656,40.93,0.0691,1
hier_c_iso,96,4,24,1,sub_0,32358,3619,0.3094,0.2215,0.6041,0.0137,14656,63.08,0.1006,1
hier_c_iso,96,4,24,1,sub_1,32358,3619,0.3094,0.2507,0.6079,0.0135,14656,63.13,0.1006,1
hier_c_iso,96,4,24,1,sub_2,32358,3619,0.3094,0.2495,0.6256,0.017,14656,62.96,0.1006,1
hier_c_iso,96,4,24,1,sub_3,32358,3619,0.3094,0.256,0.6616,0.0136,14656,62.84,0.1006,1
hier_c_iso,96,4,24,1,glue,16644,1781,0.2879,0.2645,0.4784,0.016,14656,48.96,0.1006,1
hier_c_iso,96,4,24,2,sub_0,32358,3619,0.3094,0.2371,0.6704,0.0137,14656,63.01,0.1006,1
hier_c_iso,96,4,24,2,sub_1,32358,3619,0.3094,0.2666,0.6373,0.0131,14656,62.95,0.1006,1
hier_c_iso,96,4,24,2,sub_2,32358,3619,0.3094,0.2509,0.6311,0.0133,14656,63.02,0.1006,1
hier_c_iso,96,4,24,2,sub_3,32358,3619,0.3094,0.2524,0.6266,0.0129,14656,63.1,0.1006,1
hier_c_iso,96,4,24,2,glue,16644,1781,0.2879,0.2668,0.4797,0.0122,14656,48.97,0.1006,1
hier_c_iso,96,4,24,3,sub_0,32358,3619,0.3094,0.2355,0.6437,0.0138,14656,62.8,0.1032,1
hier_c_iso,96,4,24,3,sub_1,32358,3619,0.3094,0.2629,0.633,0.0132,14656,63.07,0.1032,1
hier_c_iso,96,4,24,3,sub_2,32358,3619,0.3094,0.2481,0.6199,0.0143,14656,62.95,0.1032,1
hier_c_iso,96,4,24,3,sub_3,32358,3619,0.3094,0.2526,0.6195,0.0125,14656,62.77,0.1032,1
hier_c_iso,96,4,24,3,glue,16644,1781,0.2879,0.2604,0.5425,0.0133,14656,48.9,0.1032,1
hier_c_iso,96,8,12,1,sub_0,17028,1735,0.2786,0.1947,0.458,0.014,14656,49.47,0.1311,1
hier_c_iso,96,8,12,1,sub_1,17028,1735,0.2786,0.2285,0.4879,0.016,14656,49.32,0.1311,1
hier_c_iso,96,8,12,1,sub_2,17028,1735,0.2786,0.2348,0.4701,0.0183,14656,49.56,0.1311,1
hier_c_iso,96,8,12,1,sub_3,17028,1735,0.2786,0.2325,0.4661,0.0179,14656,49.5,0.1311,1
hier_c_iso,96,8,12,1,sub_4,17028,1735,0.2786,0.2315,0.4636,0.0211,14656,49.73,0.1311,1
hier_c_iso,96,8,12,1,sub_5,17028,1735,0.2786,0.2356,0.4612,0.017,14656,49.54,0.1311,1
hier_c_iso,96,8,12,1,sub_6,17028,1735,0.2786,0.229,0.4605,0.0118,14656,49.84,0.1311,1
hier_c_iso,96,8,12,1,sub_7,17028,1735,0.2786,0.2357,0.463,0.0107,14656,49.49,0.1311,1
hier_c_iso,96,8,12,1,glue,21770,2405,0.312,0.2623,0.5318,0.0109,14656,56.11,0.1311,1
hier_c_iso,96,8,12,2,sub_0,17028,1735,0.2786,0.2168,0.4837,0.0136,14656,49.59,0.1293,1
