variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_fs_iso,48,2,24,1,sub_0,28480,3168,0.299,0.1869,0.4417,0.0092,14656,59.45,0.0516,1
hier_fs_iso,48,2,24,1,sub_1,28480,3168,0.299,0.1983,0.4621,0.0086,14656,59.6,0.0516,1
hier_fs_iso,48,2,24,1,glue,5094,372,0.1809,0.1783,0.1551,0.0084,14656,28.69,0.0516,1
hier_fs_iso,48,2,24,2,sub_0,28480,3168,0.299,0.1935,0.4517,0.0089,14656,59.86,0.0509,1
hier_fs_iso,48,2,24,2,sub_1,28480,3168,0.299,0.201,0.452,0.0088,14656,59.71,0.0509,1
hier_fs_iso,48,2,24,2,glue,5094,372,0.1809,0.1802,0.1558,0.0089,14656,28.91,0.0509,1
hier_fs_iso,48,2,24,3,sub_0,28480,3168,0.299,0.1966,0.4691,0.0092,14656,59.82,0.055,1
hier_fs_iso,48,2,24,3,sub_1,28480,3168,0.299,0.2008,0.4606,0.0087,14656,59.95,0.055,1
hier_fs_iso,48,2,24,3,glue,5094,372,0.1809,0.1809,0.1591,0.01,14656,28.71,0.055,1
hier_fs_iso,48,4,12,1,sub_0,15184,1524,0.2316,0.1774,0.275,0.0089,14656,40.95,0.0734,1
hier_fs_iso,48,4,12,1,sub_1,15184,1524,0.2316,0.1839,0.2711,0.0085,14656,41.33,0.0734,1
hier_fs_iso,48,4,12,1,sub_2,15184,1524,0.2316,0.1829,0.2734,0.0084,14656,40.91,0.0734,1
hier_fs_iso,48,4,12,1,sub_3,15184,1524,0.2316,0.1785,0.2773,0.0088,14656,41.09,0.0734,1
hier_fs_iso,48,4,12,1,glue,7187,644,0.1918,0.179,0.1725,0.0095,14656,31.42,0.0734,1
hier_fs_iso,48,4,12,2,sub_0,15184,1524,0.2316,0.1882,0.2908,0.009,14656,41.36,0.0694,1
hier_fs_iso,48,4,12,2,sub_1,15184,1524,0.2316,0.1906,0.2895,0.0086,14656,41.14,0.0694,1
hier_fs_iso,48,4,12,2,sub_2,15184,1524,0.2316,0.1887,0.292,0.0096,14656,41.38,0.0694,1
hier_fs_iso,48,4,12,2,sub_3,15184,1524,0.2316,0.1828,0.2766,0.0106,14656,41.19,0.0694,1
hier_fs_iso,48,4,12,2,glue,7187,644,0.1918,0.1852,0.1744,0.0095,14656,31.24,0.0694,1
hier_fs_iso,48,4,12,3,sub_0,15184,1524,0.2316,0.1912,0.2806,0.0092,14656,41.35,0.0722,1
hier_fs_iso,48,4,12,3,sub_1,15184,1524,0.2316,0.1895,0.2908,0.0099,14656,41.35,0.0722,1
hier_fs_iso,48,4,12,3,sub_2,15184,1524,0.2316,0.1877,0.2901,0.0139,14656,40.76,0.0722,1
hier_fs_iso,48,4,12,3,sub_3,15184,1524,0.2316,0.1853,0.2767,0.0125,14656,41.33,0.0722,1
hier_fs_iso,48,4,12,3,glue,7187,644,0.1918,0.1852,0.1797,0.0125,14656,31.16,0.0722,1
hier_fs_iso,48,8,6,1,sub_0,8536,702,0.2213,0.1746,0.2311,0.0092,14656,35.18,0.103,1
hier_fs_iso,48,8,6,1,sub_1,8536,702,0.2213,0.1801,0.2313,0.0089,14656,35.32,0.103,1
hier_fs_iso,48,8,6,1,sub_2,8536,702,0.2213,0.1787,0.2351,0.009,14656,35.42,0.103,1
hier_fs_iso,48,8,6,1,sub_3,8536,702,0.2213,0.1752,0.2341,0.0097,14656,35.52,0.103,1
hier_fs_iso,48,8,6,1,sub_4,8536,702,0.2213,0.1787,0.2357,0.0129,14656,35.5,0.103,1
hier_fs_iso,48,8,6,1,sub_5,8536,702,0.2213,0.1821,0.2336,0.0121,14656,35.02,0.103,1
hier_fs_iso,48,8,6,1,sub_6,8536,702,0.2213,0.1784,0.2317,0.0126,14656,35.52,0.103,1
hier_fs_iso,48,8,6,1,sub_7,8536,702,0.2213,0.1814,0.2345,0.0125,14656,35.31,0.103,1
