variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_a_iso,48,2,24,1,sub_0,27084,3381,0.3038,0.1875,0.4368,0.0089,14656,57.71,0.053,1
hier_a_iso,48,2,24,1,sub_1,27084,3381,0.3038,0.2017,0.4503,0.0092,14656,58.74,0.053,1
hier_a_iso,48,2,24,1,glue,5801,801,0.2009,0.1882,0.1687,0.0087,14656,29.96,0.053,1
hier_a_iso,48,2,24,2,sub_0,27084,3381,0.3038,0.2015,0.4381,0.0091,14656,58.8,0.0519,1
hier_a_iso,48,2,24,2,sub_1,27084,3381,0.3038,0.2058,0.448,0.0088,14656,57.61,0.0519,1
hier_a_iso,48,2,24,2,glue,5801,801,0.2009,0.1927,0.1597,0.0087,14656,30.37,0.0519,1
hier_a_iso,48,2,24,3,sub_0,27084,3381,0.3038,0.2,0.4427,0.0091,14656,58.55,0.0513,1
hier_a_iso,48,2,24,3,sub_1,27084,3381,0.3038,0.201,0.459,0.0087,14656,58.59,0.0513,1
hier_a_iso,48,2,24,3,glue,5801,801,0.2009,0.19,0.1616,0.0085,14656,29.95,0.0513,1
hier_a_iso,48,4,12,1,sub_0,14445,1629,0.2427,0.1826,0.2714,0.0089,14656,40.73,0.0694,1
hier_a_iso,48,4,12,1,sub_1,14445,1629,0.2427,0.1871,0.2786,0.0085,14656,40.88,0.0694,1
hier_a_iso,48,4,12,1,sub_2,14445,1629,0.2427,0.1845,0.2691,0.0085,14656,40.71,0.0694,1
hier_a_iso,48,4,12,1,sub_3,14445,1629,0.2427,0.1868,0.2695,0.0093,14656,40.64,0.0694,1
hier_a_iso,48,4,12,1,glue,7884,1069,0.2115,0.194,0.1804,0.0086,14656,32.23,0.0694,1
hier_a_iso,48,4,12,2,sub_0,14445,1629,0.2427,0.1912,0.2758,0.0089,14656,40.37,0.0753,1
hier_a_iso,48,4,12,2,sub_1,14445,1629,0.2427,0.185,0.278,0.0086,14656,40.18,0.0753,1
hier_a_iso,48,4,12,2,sub_2,14445,1629,0.2427,0.1928,0.2965,0.0085,14656,40.39,0.0753,1
hier_a_iso,48,4,12,2,sub_3,14445,1629,0.2427,0.1885,0.2747,0.0085,14656,40.61,0.0753,1
hier_a_iso,48,4,12,2,glue,7884,1069,0.2115,0.1905,0.1888,0.0085,14656,32.61,0.0753,1
hier_a_iso,48,4,12,3,sub_0,14445,1629,0.2427,0.1913,0.2786,0.009,14656,40.62,0.0695,1
hier_a_iso,48,4,12,3,sub_1,14445,1629,0.2427,0.1897,0.2828,0.0085,14656,40.75,0.0695,1
hier_a_iso,48,4,12,3,sub_2,14445,1629,0.2427,0.1915,0.2906,0.0085,14656,40.48,0.0695,1
hier_a_iso,48,4,12,3,sub_3,14445,1629,0.2427,0.1863,0.2737,0.0086,14656,40.43,0.0695,1
hier_a_iso,48,4,12,3,glue,7884,1069,0.2115,0.1875,0.1793,0.0086,14656,32.28,0.0695,1
hier_a_iso,48,8,6,1,sub_0,8126,753,0.2281,0.178,0.1809,0.0088,14656,31.95,0.1085,1
hier_a_iso,48,8,6,1,sub_1,8126,753,0.2281,0.1815,0.1828,0.0086,14656,31.92,0.1085,1
hier_a_iso,48,8,6,1,sub_2,8126,753,0.2281,0.1811,0.1823,0.0084,14656,32.22,0.1085,1
hier_a_iso,48,8,6,1,sub_3,8126,753,0.2281,0.1826,0.1817,0.0137,14656,31.98,0.1085,1
hier_a_iso,48,8,6,1,sub_4,8126,753,0.2281,0.1802,0.1828,0.0193,14656,31.94,0.1085,1
hier_a_iso,48,8,6,1,sub_5,8126,753,0.2281,0.1809,0.1822,0.0117,14656,32.29,0.1085,1
hier_a_iso,48,8,6,1,sub_6,8126,753,0.2281,0.181,0.1822,0.0085,14656,32.14,0.1085,1
hier_a_iso,48,8,6,1,sub_7,8126,753,0.2281,0.1872,0.1811,0.0083,14656,31.98,0.1085,1
hier_a_iso,48,8,6,1,glue,12050,1605,0.2314,0.1937,0.2619,0.0097,14656,40.36,0.1085,1
hier_a_iso,48,8,6,2,sub_0,8126,753,0.2281,0.1976,0.2,0.0092,14656,31.82,0.1163,1
hier_a_iso,48,8,6,2,sub_1,8126,753,0.2281,0.1824,0.1953,0.0085,14656,31.8,0.1163,1
hier_a_iso,48,8,6,2,sub_2,8126,753,0.2281,0.1922,0.1976,0.0085,14656,31.82,0.1163,1
hier_a_iso,48,8,6,2,sub_3,8126,753,0.2281,0.1917,0.1869,0.0106,14656,32.03,0.1163,1
hier_a_iso,48,8,6,2,sub_4,8126,753,0.2281,0.1815,0.1818,0.0149,14656,32.07,0.1163,1
hier_a_iso,48,8,6,2,sub_5,8126,753,0.2281,0.1826,0.1849,0.0198,14656,31.76,0.1163,1
hier_a_iso,48,8,6,2,sub_6,8126,753,0.2281,0.1812,0.181,0.0139,14656,31.69,0.1163,1
hier_a_iso,48,8,6,2,sub_7,8126,753,0.2281,0.1833,0.183,0.0086,14656,31.98,0.1163,1
hier_a_iso,48,8,6,2,glue,12050,1605,0.2314,0.1904,0.2606,0.0093,14656,39.99,0.1163,1
hier_a_iso,48,8,6,3,sub_0,8126,753,0.2281,0.1938,0.1951,0.0091,14656,31.89,0.1136,1
hier_a_iso,48,8,6,3,sub_1,8126,753,0.2281,0.1796,0.2059,0.0086,14656,32.32,0.1136,1
hier_a_iso,48,8,6,3,sub_2,8126,753,0.2281,0.1886,0.1909,0.0096,14656,32.23,0.1136,1
hier_a_iso,48,8,6,3,sub_3,8126,753,0.2281,0.1871,0.1898,0.0091,14656,32.29,0.1136,1
hier_a_iso,48,8,6,3,sub_4,8126,753,0.2281,0.186,0.1842,0.0088,14656,32.02,0.1136,1
hier_a_iso,48,8,6,3,sub_5,8126,753,0.2281,0.1864,0.1924,0.0113,14656,32.27,0.1136,1
hier_a_iso,48,8,6,3,sub_6,8126,753,0.2281,0.1892,0.1847,0.0088,14656,31.86,0.1136,1
hier_a_iso,48,8,6,3,sub_7,8126,753,0.2281,0.1898,0.1839,0.0113,14656,31.96,0.1136,1
hier_a_iso,48,8,6,3,glue,12050,1605,0.2314,0.1901,0.269,0.0096,14656,40.24,0.1136,1
hier_a_iso,96,2,48,1,sub_0,60423,7919,0.4625,0.2296,0.859,0.0094,14656,102.96,0.0549,1
hier_a_iso,96,2,48,1,sub_1,60423,7919,0.4625,0.2378,0.852,0.0091,14656,102.96,0.0549,1
hier_a_iso,96,2,48,1,glue,7032,1373,0.2396,0.2023,0.1823,0.0092,14656,32.12,0.0549,1
hier_a_iso,96,2,48,2,sub_0,60423,7919,0.4625,0.2371,0.8726,0.0096,14656,102.54,0.0544,1
hier_a_iso,96,2,48,2,sub_1,60423,7919,0.4625,0.2477,0.8554,0.0088,14656,103.01,0.0544,1
hier_a_iso,96,2,48,2,glue,7032,1373,0.2396,0.2068,0.1779,0.0089,14656,32.05,0.0544,1
hier_a_iso,96,2,48,3,sub_0,60423,7919,0.4625,0.2473,0.8961,0.0126,14656,102.8,0.0701,1
hier_a_iso,96,2,48,3,sub_1,60423,7919,0.4625,0.2572,1.1627,0.0123,14656,102.77,0.0701,1
hier_a_iso,96,2,48,3,glue,7032,1373,0.2396,0.2757,0.2109,0.0133,14656,32.41,0.0701,1
hier_a_iso,96,4,24,1,sub_0,31029,3887,0.3723,0.2269,0.629,0.0129,14656,63.73,0.0956,1
hier_a_iso,96,4,24,1,sub_1,31029,3887,0.3723,0.2602,0.6272,0.0126,14656,63.37,0.0956,1
hier_a_iso,96,4,24,1,sub_2,31029,3887,0.3723,0.2555,0.6283,0.0126,14656,63.38,0.0956,1
hier_a_iso,96,4,24,1,sub_3,31029,3887,0.3723,0.2564,0.6119,0.0156,14656,63.62,0.0956,1
hier_a_iso,96,4,24,1,glue,9458,1685,0.2848,0.2623,0.295,0.013,14656,36.96,0.0956,1
hier_a_iso,96,4,24,2,sub_0,31029,3887,0.3723,0.2484,0.6784,0.0132,14656,63.56,0.0946,1
hier_a_iso,96,4,24,2,sub_1,31029,3887,0.3723,0.283,0.6447,0.0133,14656,63.78,0.0946,1
hier_a_iso,96,4,24,2,sub_2,31029,3887,0.3723,0.2636,0.6236,0.015,14656,63.43,0.0946,1
hier_a_iso,96,4,24,2,sub_3,31029,3887,0.3723,0.2555,0.6068,0.015,14656,63.59,0.0946,1
hier_a_iso,96,4,24,2,glue,9458,1685,0.2848,0.2675,0.29,0.0209,14656,37.1,0.0946,1
hier_a_iso,96,4,24,3,sub_0,31029,3887,0.3723,0.2428,0.643,0.0131,14656,63.5,0.0964,1
hier_a_iso,96,4,24,3,sub_1,31029,3887,0.3723,0.2795,0.6529,0.0125,14656,63.47,0.0964,1
hier_a_iso,96,4,24,3,sub_2,31029,3887,0.3723,0.2563,0.6161,0.0124,14656,63.54,0.0964,1
hier_a_iso,96,4,24,3,sub_3,31029,3887,0.3723,0.258,0.6074,0.0149,14656,63.67,0.0964,1
hier_a_iso,96,4,24,3,glue,9458,1685,0.2848,0.2621,0.2877,0.0119,14656,37.17,0.0964,1
hier_a_iso,96,8,12,1,sub_0,16332,1871,0.2968,0.203,0.3451,0.013,14656,42.3,0.1314,1
hier_a_iso,96,8,12,1,sub_1,16332,1871,0.2968,0.234,0.3517,0.0126,14656,42.33,0.1314,1
hier_a_iso,96,8,12,1,sub_2,16332,1871,0.2968,0.2314,0.3435,0.0133,14656,42.42,0.1314,1
hier_a_iso,96,8,12,1,sub_3,16332,1871,0.2968,0.2333,0.3466,0.0146,14656,42.32,0.1314,1
hier_a_iso,96,8,12,1,sub_4,16332,1871,0.2968,0.2335,0.3485,0.0178,14656,42.3,0.1314,1
hier_a_iso,96,8,12,1,sub_5,16332,1871,0.2968,0.2306,0.3604,0.0129,14656,42.43,0.1314,1
hier_a_iso,96,8,12,1,sub_6,16332,1871,0.2968,0.2368,0.3613,0.0144,14656,42.71,0.1314,1
hier_a_iso,96,8,12,1,sub_7,16332,1871,0.2968,0.2332,0.3469,0.0112,14656,42.47,0.1314,1
hier_a_iso,96,8,12,1,glue,14310,2309,0.3012,0.2576,0.3332,0.0115,14656,41.79,0.1314,1
hier_a_iso,96,8,12,2,sub_0,16332,1871,0.2968,0.2598,0.3684,0.0128,14656,42.39,0.1343,1
hier_a_iso,96,8,12,2,sub_1,16332,1871,0.2968,0.2466,0.3933,0.0125,14656,42.26,0.1343,1
hier_a_iso,96,8,12,2,sub_2,16332,1871,0.2968,0.2365,0.3559,0.0157,14656,42.58,0.1343,1
hier_a_iso,96,8,12,2,sub_3,16332,1871,0.2968,0.2373,0.3557,0.0198,14656,42.48,0.1343,1
hier_a_iso,96,8,12,2,sub_4,16332,1871,0.2968,0.2338,0.3615,0.0125,14656,42.33,0.1343,1
hier_a_iso,96,8,12,2,sub_5,16332,1871,0.2968,0.2336,0.3654,0.0112,14656,42.32,0.1343,1
hier_a_iso,96,8,12,2,sub_6,16332,1871,0.2968,0.2317,0.3631,0.0115,14656,42.23,0.1343,1
hier_a_iso,96,8,12,2,sub_7,16332,1871,0.2968,0.2373,0.3522,0.0111,14656,42.48,0.1343,1
hier_a_iso,96,8,12,2,glue,14310,2309,0.3012,0.2557,0.3332,0.0113,14656,41.82,0.1343,1
hier_a_iso,96,8,12,3,sub_0,16332,1871,0.2968,0.229,0.3732,0.0126,14656,42.24,0.131,1
hier_a_iso,96,8,12,3,sub_1,16332,1871,0.2968,0.241,0.3856,0.013,14656,42.38,0.131,1
hier_a_iso,96,8,12,3,sub_2,16332,1871,0.2968,0.24,0.35,0.0135,14656,42.29,0.131,1
hier_a_iso,96,8,12,3,sub_3,16332,1871,0.2968,0.2379,0.3593,0.0147,14656,42.28,0.131,1
hier_a_iso,96,8,12,3,sub_4,16332,1871,0.2968,0.2389,0.3511,0.0217,14656,42.29,0.131,1
hier_a_iso,96,8,12,3,sub_5,16332,1871,0.2968,0.2388,0.3507,0.0144,14656,42.19,0.131,1
hier_a_iso,96,8,12,3,sub_6,16332,1871,0.2968,0.2337,0.3651,0.011,14656,42.59,0.131,1
hier_a_iso,96,8,12,3,sub_7,16332,1871,0.2968,0.2338,0.3495,0.0109,14656,42.17,0.131,1
hier_a_iso,96,8,12,3,glue,14310,2309,0.3012,0.2588,0.3375,0.0113,14656,41.97,0.131,1
hier_a_iso,128,2,64,1,sub_0,80019,10607,0.5983,0.2775,1.7094,0.0124,14656,142.34,0.0682,1
hier_a_iso,128,2,64,1,sub_1,80019,10607,0.5983,0.3087,1.7475,0.0119,14656,142.86,0.0682,1
hier_a_iso,128,2,64,1,glue,7624,1725,0.2934,0.285,0.208,0.0117,14656,34.25,0.0682,1
hier_a_iso,128,2,64,2,sub_0,80019,10607,0.5983,0.3097,1.8078,0.0123,14656,142.85,0.0693,1
hier_a_iso,128,2,64,2,sub_1,80019,10607,0.5983,0.3138,1.6996,0.012,14656,142.77,0.0693,1
hier_a_iso,128,2,64,2,glue,7624,1725,0.2934,0.2829,0.2078,0.0127,14656,34.12,0.0693,1
hier_a_iso,128,2,64,3,sub_0,80019,10607,0.5983,0.2994,1.8354,0.0124,14656,142.8,0.0736,1
hier_a_iso,128,2,64,3,sub_1,80019,10607,0.5983,0.3068,1.707,0.0121,14656,142.56,0.0736,1
hier_a_iso,128,2,64,3,glue,7624,1725,0.2934,0.2896,0.2095,0.0143,14656,34.09,0.0736,1
hier_a_iso,128,4,32,1,sub_0,40827,5231,0.4145,0.2356,0.9055,0.0127,14656,81.59,0.0954,1
hier_a_iso,128,4,32,1,sub_1,40827,5231,0.4145,0.2681,0.9225,0.0121,14656,81.34,0.0954,1
hier_a_iso,128,4,32,1,sub_2,40827,5231,0.4145,0.2623,0.9236,0.0121,14656,81.59,0.0954,1
hier_a_iso,128,4,32,1,sub_3,40827,5231,0.4145,0.2636,0.9138,0.0122,14656,81.43,0.0954,1
hier_a_iso,128,4,32,1,glue,10050,2037,0.3103,0.2841,0.2883,0.0126,14656,38.43,0.0954,1
hier_a_iso,128,4,32,2,sub_0,40827,5231,0.4145,0.2626,0.9974,0.0128,14656,81.16,0.0923,1
hier_a_iso,128,4,32,2,sub_1,40827,5231,0.4145,0.2803,0.9236,0.0124,14656,81.33,0.0923,1
