exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,1504,8,188,22,1,inner_segment,sub_0,370544,46206,2.0142,0.5,4.3485,,,568.9
2,1504,8,188,22,1,inner_segment,sub_1,370544,46206,2.0142,0.502,4.4767,,,568.96
2,1504,8,188,22,1,inner_segment,sub_2,370544,46206,2.0142,0.5191,4.5826,,,568.89
2,1504,8,188,22,1,inner_segment,sub_3,370544,46206,2.0142,0.519,4.6055,,,569.28
2,1504,8,188,22,1,inner_segment,sub_4,370544,46206,2.0142,0.5247,4.6622,,,569.04
2,1504,8,188,22,1,inner_segment,sub_5,370544,46206,2.0142,0.5267,5.4382,,,568.9
2,1504,8,188,22,1,inner_segment,sub_6,370544,46206,2.0142,0.6116,6.5148,,,569.15
2,1504,8,188,22,1,inner_segment,sub_7,370544,46206,2.0142,0.6067,6.4378,,,569.14
2,1504,8,188,22,1,outer_recursive,recursion,6089780,5034,0.3714,0.2248,77.4381,0.0124,14656,8155.68
2,1504,8,188,22,2,inner_segment,sub_0,370544,46206,2.0142,0.5577,6.3628,,,569.24
2,1504,8,188,22,2,inner_segment,sub_1,370544,46206,2.0142,0.5919,6.3217,,,569.02
2,1504,8,188,22,2,inner_segment,sub_2,370544,46206,2.0142,0.5973,6.3378,,,568.84
2,1504,8,188,22,2,inner_segment,sub_3,370544,46206,2.0142,0.5991,6.3272,,,569.06
2,1504,8,188,22,2,inner_segment,sub_4,370544,46206,2.0142,0.5908,6.3258,,,569.02
2,1504,8,188,22,2,inner_segment,sub_5,370544,46206,2.0142,0.6025,6.3296,,,569.07
2,1504,8,188,22,2,inner_segment,sub_6,370544,46206,2.0142,0.5924,6.4017,,,569.27
2,1504,8,188,22,2,inner_segment,sub_7,370544,46206,2.0142,0.597,6.3394,,,569.14
2,1504,8,188,22,2,outer_recursive,recursion,6089780,5034,0.2601,0.2216,77.438,0.0122,14656,8165.53
2,1504,4,376,22,1,inner_segment,sub_0,740058,92642,4.0573,0.8695,8.2954,,,1082.0
2,1504,4,376,22,1,inner_segment,sub_1,740058,92642,4.0573,0.8925,8.5852,,,1081.88
2,1504,4,376,22,1,inner_segment,sub_2,740058,92642,4.0573,0.9062,9.0423,,,1081.94
2,1504,4,376,22,1,inner_segment,sub_3,740058,92642,4.0573,0.9535,11.8381,,,1082.01
2,1504,4,376,22,1,outer_recursive,recursion,3015249,4022,0.3289,0.2068,41.0305,0.0138,14656,4160.12
2,1504,4,376,22,2,inner_segment,sub_0,740058,92642,4.0573,0.9376,12.0399,,,1082.19
2,1504,4,376,22,2,inner_segment,sub_1,740058,92642,4.0573,0.9634,11.6745,,,1082.18
2,1504,4,376,22,2,inner_segment,sub_2,740058,92642,4.0573,0.9718,11.7283,,,1081.87
2,1504,4,376,22,2,inner_segment,sub_3,740058,92642,4.0573,0.9384,11.8961,,,1082.12
2,1504,4,376,22,2,outer_recursive,recursion,3015249,4022,0.2492,0.2043,40.9314,0.0139,14656,4209.37
2,1504,2,752,22,1,inner_segment,sub_0,1479086,185514,8.5807,1.6599,16.3242,,,2115.79
2,1504,2,752,22,1,inner_segment,sub_1,1479086,185514,8.5807,1.7146,21.9442,,,2116.14
2,1504,2,752,22,1,outer_recursive,recursion,1477984,3516,0.2979,0.1982,21.0803,0.0156,14656,2100.09
2,1504,2,752,22,2,inner_segment,sub_0,1479086,185514,8.5807,1.6984,22.262,,,2116.09
2,1504,2,752,22,2,inner_segment,sub_1,1479086,185514,8.5807,1.7317,22.126,,,2115.85
2,1504,2,752,22,2,outer_recursive,recursion,1477984,3516,0.2343,0.1942,20.9487,0.0154,14656,2085.14
2,2000,2,1000,22,1,inner_segment,sub_0,1966530,246770,11.7014,2.177,20.254,,,2578.77
2,2000,2,1000,22,1,inner_segment,sub_1,1966530,246770,11.7014,2.2957,26.3754,,,2578.63
2,2000,2,1000,22,1,outer_recursive,recursion,1478976,4508,0.3072,0.1982,20.9324,0.0155,14656,2100.53
2,2000,2,1000,22,2,inner_segment,sub_0,1966530,246770,11.7014,2.2177,25.6044,,,2578.61
2,2000,2,1000,22,2,inner_segment,sub_1,1966530,246770,11.7014,2.2572,26.0268,,,2578.52
2,2000,2,1000,22,2,outer_recursive,recursion,1478976,4508,0.2407,0.1975,20.5992,0.0155,14656,2100.96
2,2000,4,500,22,1,inner_segment,sub_0,983780,123270,5.4863,1.1294,9.7991,,,1334.09
2,2000,4,500,22,1,inner_segment,sub_1,983780,123270,5.4863,1.1691,10.1,,,1334.09
2,2000,4,500,22,1,inner_segment,sub_2,983780,123270,5.4863,1.2033,12.9071,,,1334.22
2,2000,4,500,22,1,inner_segment,sub_3,983780,123270,5.4863,1.2602,13.9208,,,1334.43
2,2000,4,500,22,1,outer_recursive,recursion,3016241,5014,0.337,0.2113,40.9411,0.0132,14656,4142.36
2,2000,4,500,22,2,inner_segment,sub_0,983780,123270,5.4863,1.187,13.4374,,,1334.11
2,2000,4,500,22,2,inner_segment,sub_1,983780,123270,5.4863,1.2307,13.767,,,1334.45
2,2000,4,500,22,2,inner_segment,sub_2,983780,123270,5.4863,1.235,13.7364,,,1333.97
2,2000,4,500,22,2,inner_segment,sub_3,983780,123270,5.4863,1.2281,13.7726,,,1334.3
2,2000,4,500,22,2,outer_recursive,recursion,3016241,5014,0.2493,0.2105,40.8388,0.0142,14656,4118.73
2,2000,8,250,22,1,inner_segment,sub_0,492405,61520,2.5568,0.6088,5.0269,,,663.5
2,2000,8,250,22,1,inner_segment,sub_1,492405,61520,2.5568,0.6198,5.1909,,,663.62
2,2000,8,250,22,1,inner_segment,sub_2,492405,61520,2.5568,0.6504,5.2764,,,663.66
2,2000,8,250,22,1,inner_segment,sub_3,492405,61520,2.5568,0.6485,5.4001,,,663.45
2,2000,8,250,22,1,inner_segment,sub_4,492405,61520,2.5568,0.6541,6.0049,,,663.53
2,2000,8,250,22,1,inner_segment,sub_5,492405,61520,2.5568,0.7224,7.5521,,,663.77
2,2000,8,250,22,1,inner_segment,sub_6,492405,61520,2.5568,0.7301,7.4069,,,663.68
2,2000,8,250,22,1,inner_segment,sub_7,492405,61520,2.5568,0.7377,7.3584,,,663.69
2,2000,8,250,22,1,outer_recursive,recursion,6090772,6026,0.3871,0.2274,77.5966,0.0124,14656,8188.02
2,2000,8,250,22,2,inner_segment,sub_0,492405,61520,2.5568,0.6719,7.2965,,,663.68
2,2000,8,250,22,2,inner_segment,sub_1,492405,61520,2.5568,0.715,7.2937,,,663.69
2,2000,8,250,22,2,inner_segment,sub_2,492405,61520,2.5568,0.7257,7.3407,,,663.62
2,2000,8,250,22,2,inner_segment,sub_3,492405,61520,2.5568,0.7206,7.2991,,,663.91
